,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
671,1998,2,27,6,57,57,-3.95,-49.64,0.0,20,3.1,1,I,-,,PA,Tucurui,(UnB),2.8,0.3,Mw(mb)
672,1998,3,2,6,26,51,-3.86,-49.63,0.0,20,3.5,0,I,4-5,,PA,Tucurui,(UnB;IDC; ISC),3.2,0.3,Mw(mb)
673,1998,3,10,23,32,44,-11.6,-56.74,5.0,4,5.2,2,I,5-6,250.,MT,Porto dos Gauchos,(UnB;IAG;IPT;UNESP;ISC:Ms=4.5) pGT H.O.=A,4.8,0.33,0.7Mw(mb)+0.3Mw(Af)
674,1998,3,14,23,23,0,-11.6,-56.74,5.0,5,3.7,1,I,-,,MT,Pto.Gauchos,(UnB),3.4,0.3,Mw(mb)
675,1998,3,22,5,24,35,-11.59,-56.78,4.0,5,3.7,1,I,-,,MT,Pto.Gauchos,(UnB),3.4,0.3,Mw(mb)
676,1998,3,22,5,26,50,-11.6,-56.8,4.0,5,3.8,1,I,-,,MT,Pto.Gauchos,(UnB),3.5,0.3,Mw(mb)
677,1998,3,28,5,15,18,-15.66,-51.93,0.0,50,3.3,1,I,-,,MT,Araguaiana,(UnB),3.0,0.3,Mw(mb)
678,1998,4,11,17,24,53,-11.02,-48.48,0.0,50,3.9,0,I,-,,TO,Pto.Nacional,(ISC),3.6,0.3,Mw(mb)
679,1998,4,12,4,9,29,4.57,-47.62,47.0,30,5.3,0,I,-,,AP,Margem Cont.,(IAG;UnB;ISC),5.0,0.3,Mw(mb)
680,1998,4,18,2,32,18,-24.66,-44.27,0.0,30,3.4,1,I,-,,SP,Margem Cont.,(IAG;IPT;UNESP;UnB),3.1,0.3,Mw(mb)
681,1998,4,22,2,29,10,-4.41,-38.29,0.0,2,2.8,5,I,-,,CE,Cascavel,(UFRN;IAG),3.1,0.3,Mw(mb)
682,1998,5,5,19,30,0,-28.3,-49.1,0.0,20,2.8,4,C,3-4,,SC,Braco Norte,(IAG; Jornal Florianopolis),2.4,0.6,Mw(mb(I0))
683,1998,5,6,14,45,19,-18.13,-56.7,0.0,50,3.4,1,I,-,,MS,Paiaguas,(UnB),3.1,0.3,Mw(mb)
684,1998,5,6,14,45,59,-11.6,-56.8,0.0,10,3.6,1,I,-,,MT,Pto.Gauchos,(UnB),3.3,0.3,Mw(mb)
685,1998,5,7,1,36,54,-18.26,-56.67,0.0,50,3.2,1,I,-,,MS,Paiaguas,(UnB),2.9,0.3,Mw(mb)
686,1998,5,7,1,52,59,-18.28,-56.65,0.0,50,3.0,1,I,-,,MS,Paiaguas,(UnB),2.7,0.3,Mw(mb)
687,1998,5,7,14,0,8,-7.5,-73.64,0.0,80,3.7,1,I,-,,AC,Acampamento,(UnB),3.4,0.3,Mw(mb)
688,1998,5,12,10,53,44,-18.35,-56.65,0.0,50,3.3,1,I,-,,MS,Paiaguas,(UnB),3.0,0.3,Mw(mb)
689,1998,5,12,14,29,51,-11.6,-56.8,0.0,10,3.6,1,I,-,,MT,Pto.Gauchos,(UnB),3.3,0.3,Mw(mb)
690,1998,5,12,14,30,26,-18.41,-56.58,0.0,50,3.4,1,I,-,,MS,Paiaguas,(UnB),3.1,0.3,Mw(mb)
691,1998,5,15,19,3,0,-11.6,-56.8,0.0,10,3.5,1,I,-,,MT,Pto.Gauchos,(UnB),3.2,0.3,Mw(mb)
692,1998,5,15,19,3,34,-18.06,-56.73,0.0,50,3.3,1,I,-,,MS,Paiaguas,(UnB),3.0,0.3,Mw(mb)
693,1998,5,22,17,33,3,-19.17,-47.68,3.0,2,4.1,2,I,6,,MG,Nova Ponte,(Chimpliganond 2002;UnB;IAG;IPT;UNESP;ISC,3.8,0.3,Mw(mb)
694,1998,5,30,9,57,45,-19.15,-55.97,0.0,40,3.6,1,I,-,,MS,Paiaguas,(UnB;IPT;IAG),3.3,0.3,Mw(mb)
695,1998,6,4,0,40,46,-4.41,-38.29,0.0,2,4.0,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG) Fortaleza II MM,3.7,0.3,Mw(mb)
696,1998,7,1,21,25,9,-24.02,-44.46,0.0,30,3.2,1,I,-,,SP,Margem Cont.,(IAG;UnB),2.9,0.3,Mw(mb)
697,1998,7,19,0,32,59,-11.61,-56.78,0.0,10,3.8,1,I,-,,MT,Pto.Gauchos,(UnB),3.5,0.3,Mw(mb)
698,1998,7,21,22,22,59,-11.59,-56.78,0.0,10,4.1,1,I,-,,MT,Pto.Gauchos,(UnB;IAG),3.8,0.3,Mw(mb)
699,1998,7,23,16,32,24,-11.6,-56.8,0.0,10,3.5,1,I,-,,MT,Pto.Gauchos,(UnB),3.2,0.3,Mw(mb)
700,1998,7,25,0,50,42,-11.6,-56.8,0.0,10,3.5,1,I,-,,MT,Pto.Gauchos,(UnB),3.2,0.3,Mw(mb)
701,1998,7,29,6,20,52,-9.87,-39.87,0.0,1,3.1,1,I,3,,BA,Jaguarari,(IAG;UnB) Induzido por Mineracao,2.8,0.3,Mw(mb)
702,1998,7,30,15,56,21,-11.6,-56.8,0.0,10,3.5,1,I,-,,MT,Pto.Gauchos,(UnB),3.2,0.3,Mw(mb)
703,1998,8,4,6,2,41,-4.41,-38.29,0.0,2,2.8,5,I,-,,CE,Cascavel,(UFRN;IAG),3.2,0.3,Mw(mb)
704,1998,8,16,22,0,0,-28.77,-49.55,0.0,20,3.4,3,C,-,0.7,SC,Meleiro,(UnB),2.7,0.4,Mw(Af)
705,1998,8,24,3,35,26,-19.59,-44.13,0.0,30,3.0,1,I,3-4,,MG,P.Leopoldo,(UnB;IAG;IPT),2.7,0.3,Mw(mb)
706,1998,8,26,15,9,43,-19.09,-42.96,0.0,50,3.8,1,I,-,,MG,Capelinha,(UnB),3.5,0.3,Mw(mb)
707,1998,8,27,14,23,57,-9.46,-50.49,0.0,50,3.2,1,I,-,,PA,Pq.Nac.Arag.,(UnB),2.9,0.3,Mw(mb)
708,1998,9,18,18,34,57,-24.96,-45.27,0.0,30,3.2,1,I,-,,SP,Margem Cont.,(IAG;IPT;UnB),2.9,0.3,Mw(mb)
709,1998,9,18,18,40,44,-25.02,-45.47,0.0,30,3.1,1,I,-,,SP,Margem Cont.,(IAG;IPT;UnB),2.8,0.3,Mw(mb)
710,1998,9,20,20,7,36,-15.03,-51.42,0.0,50,3.0,1,I,-,,GO,Aruana,(UnB),2.7,0.3,Mw(mb)
711,1998,9,20,23,44,31,-11.6,-56.8,0.0,10,3.5,1,I,-,,MT,Pto.Gauchos,(UnB),3.2,0.3,Mw(mb)
712,1998,9,24,3,48,48,-11.6,-56.8,0.0,10,3.5,1,I,-,,MT,Pto.Gauchos,(UnB),3.2,0.3,Mw(mb)
713,1998,9,24,6,13,32,-11.6,-56.8,0.0,10,3.7,1,I,-,,MT,Pto.Gauchos,(UnB),3.4,0.3,Mw(mb)
714,1998,10,9,8,3,13,-8.73,-54.57,0.0,50,3.5,1,I,-,,PA,S. Cachimbo,(UnB),3.2,0.3,Mw(mb)
715,1998,10,9,8,8,4,-11.6,-56.8,0.0,10,3.5,1,I,-,,MT,Pto.Gauchos,(UnB),3.2,0.3,Mw(mb)
716,1998,11,11,19,10,57,-11.61,-56.79,0.0,10,3.7,1,I,-,,MT,Pto.Gauchos,(UnB),3.4,0.3,Mw(mb)
717,1998,12,31,0,25,12,-16.37,-54.14,0.0,50,3.0,1,I,-,,MT,Rondonopolis,(UnB),2.7,0.3,Mw(mb)
718,1999,1,2,8,33,55,-23.41,-49.17,0.0,30,3.4,1,I,-,,SP,Itai,(IPT;IAG;UnB),3.1,0.3,Mw(mb)
719,1999,2,8,18,44,45,-11.61,-56.78,2.0,10,3.1,1,I,-,,MT,Pto. Gauchos,(UnB),2.8,0.3,Mw(mb)
720,1999,3,15,5,13,32,-0.22,-63.79,22.0,30,4.0,0,I,-,,AM,SGCachoeira,(ISC;UnB:m=4.4),3.7,0.3,Mw(mb)
721,1999,3,18,9,31,28,-11.6,-56.79,2.0,10,3.7,1,I,-,,MT,Pto.Gauchos,(UnB),3.4,0.3,Mw(mb)
722,1999,3,28,3,5,47,-9.87,-39.87,0.0,1,2.8,1,I,-,,BA,Jaguarari,(IAG)Induzido por Mineracao,2.5,0.3,Mw(mb)
723,1999,4,1,17,18,44,-11.59,-56.78,2.0,10,3.7,1,I,-,,MT,Pto. Gauchos,(UnB),3.4,0.3,Mw(mb)
724,1999,4,2,3,7,31,-11.61,-56.78,2.0,10,3.1,1,I,-,,MT,Pto. Gauchos,(UnB),2.8,0.3,Mw(mb)
725,1999,4,5,7,53,2,-22.53,-40.37,0.0,20,2.9,1,I,-,,RJ,Margem Cont.,(IAG),2.6,0.3,Mw(mb)
726,1999,4,11,20,26,49,-20.02,-47.31,0.0,5,2.9,1,I,-,,MG,Jaguarinha,(IAG;UnB;IPT),2.6,0.3,Mw(mb)
727,1999,5,4,20,26,8,-11.6,-56.79,2.0,10,3.0,1,I,-,,MT,Pto. Gauchos,(UnB),2.7,0.3,Mw(mb)
728,1999,5,7,6,44,59,-11.61,-56.78,2.0,10,3.3,1,I,-,,MT,Pto. Gauchos,(UnB),3.0,0.3,Mw(mb)
729,1999,5,7,6,45,0,-11.61,-56.78,2.0,10,3.3,1,I,-,,MT,Pto. Gauchos,(UnB),3.0,0.3,Mw(mb)
730,1999,5,7,7,1,29,-11.61,-56.78,2.0,10,3.4,1,I,-,,MT,Pto. Gauchos,(UnB),3.1,0.3,Mw(mb)
731,1999,5,7,20,38,58,-11.62,-56.78,2.0,10,3.7,1,I,-,,MT,Pto. Gauchos,(UnB),3.4,0.3,Mw(mb)
732,1999,5,9,14,24,59,-11.61,-56.78,2.0,10,3.0,1,I,-,,MT,Pto. Gauchos,(UnB),2.7,0.3,Mw(mb)
733,1999,5,11,20,16,11,-11.61,-56.78,2.0,10,3.4,1,I,-,,MT,Pto. Gauchos,(UnB),3.1,0.3,Mw(mb)
734,1999,5,18,6,57,14,-24.52,-41.6,0.0,30,3.1,1,I,-,,RJ,Margem Cont.,(IAG;UnB),2.8,0.3,Mw(mb)
735,1999,6,25,19,52,7,-24.51,-40.78,0.0,50,3.6,1,I,-,,RJ,Margem Cont.,(IAG;UnB),3.3,0.3,Mw(mb)
736,1999,6,30,20,19,33,-5.62,-35.82,0.0,5,3.0,5,I,-,,RN,Joao Camara,(UFRN),3.3,0.3,Mw(mb)
737,1999,7,11,1,35,0,-13.17,-39.58,0.0,10,2.9,4,C,-,0.113,BA,Ubaira,(IAG) varios evts.,2.4,0.6,Mw(mb(I0))
738,1999,8,7,18,44,32,-11.61,-56.78,2.0,10,3.1,1,I,-,,MT,Pto. Gauchos,(UnB),2.8,0.3,Mw(mb)
739,1999,8,8,5,25,10,-22.32,-40.57,0.0,20,2.8,1,I,-,,RJ,Margem Cont,(IAG),2.5,0.3,Mw(mb)
740,1999,8,18,4,43,58,-13.3,-49.2,0.0,80,3.5,1,I,-,,GO,Porangatu,(UnB;IAG),3.2,0.3,Mw(mb)
741,1999,10,1,18,2,45,-11.62,-56.79,2.0,10,3.5,1,I,-,,MT,Pto. Gauchos,(UnB),3.2,0.3,Mw(mb)
742,1999,10,24,19,13,42,-16.46,-44.09,0.0,50,3.5,1,I,-,,MG,Montes Claros,(IAG;UnB),3.2,0.3,Mw(mb)
743,1999,11,12,7,42,6,-11.68,-56.8,0.0,10,3.5,1,I,-,,MT,Porto dos Gauchos,(UnB),3.2,0.3,Mw(mb)
744,1999,11,17,12,6,14,-8.28,-36.02,0.0,5,3.0,1,I,4-5,,PE,Caruaru,(UFRN;UnB),2.7,0.3,Mw(mb)
745,1999,11,20,13,28,40,-11.62,-56.8,2.0,10,3.2,1,I,-,,MT,Pto. Gauchos,(UnB),2.9,0.3,Mw(mb)
746,1999,12,16,5,8,21,-11.65,-47.8,0.0,50,3.4,1,I,-,,TO,Natividade,(UnB),3.1,0.3,Mw(mb)
747,1999,12,22,11,19,50,-4.41,-38.29,0.0,2,2.8,5,I,-,,CE,Cascavel,(UFRN;UnB),3.1,0.3,Mw(mb)
748,2000,1,22,23,36,40,-4.41,-38.29,0.0,2,3.3,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.0,0.3,Mw(mb)
749,2000,1,23,6,22,39,-4.41,-38.29,0.0,2,3.1,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),2.8,0.3,Mw(mb)
750,2000,1,23,8,4,51,-4.41,-38.29,0.0,2,3.0,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),2.7,0.3,Mw(mb)
751,2000,3,28,23,41,55,-16.48,-55.73,0.0,100,3.4,1,I,2,,MT,Poconeh,(UnB),3.1,0.3,Mw(mb)
752,2000,4,12,7,26,34,-12.27,-48.84,0.0,80,3.1,1,I,4-5,,TO,S.V.Nativid.,(UnB;IAG),2.8,0.3,Mw(mb)
753,2000,4,17,14,29,46,-22.25,-40.43,0.0,20,2.8,1,I,-,,RJ,Margem  Cont.,(IAG),2.5,0.3,Mw(mb)
754,2000,4,22,22,11,45,-11.45,-50.38,0.0,100,3.2,1,I,-,,MS,Luciara,(UnB),2.9,0.3,Mw(mb)
755,2000,4,28,3,15,8,-26.83,-56.35,0.0,50,3.9,1,I,-,,PY,Paraguay,(UnB;IAG),3.6,0.3,Mw(mb)
756,2000,5,2,14,5,0,-16.03,-56.53,0.0,30,3.7,3,C,5,2.8,MT,Cangas,(IAG;UnB),3.1,0.4,Mw(Af)
757,2000,5,6,5,11,39,-19.06,-47.98,0.0,10,3.3,1,I,5-6,,MG,Miranda,(UnB;IAG),3.0,0.3,Mw(mb)
758,2000,6,29,2,2,18,-4.41,-38.29,0.0,2,3.5,1,I,-,,CE,Cascavel,(UnB),3.2,0.3,Mw(mb)
759,2000,7,4,4,54,47,-4.41,-38.29,0.0,5,4.1,1,I,4-5,,CE,Cascavel,(UnB;UFRN),3.8,0.3,Mw(mb)
760,2000,7,13,23,55,41,-9.87,-39.87,0.0,1,2.8,1,I,-,,BA,Jaguarari,(IAG)Induzido p/ Mineracao,2.5,0.3,Mw(mb)
761,2000,7,27,0,0,0,-16.37,-40.54,0.0,30,3.2,4,C,4-5,,MG,Rubim,(UnB),2.9,0.6,Mw(mb(I0))
762,2000,9,13,7,39,51,-12.02,-49.85,0.0,30,3.4,1,I,-,,TO,Gurupi,(IAG;UnB),3.1,0.3,Mw(mb)
763,2000,9,23,1,55,25,-4.3,-38.4,0.0,50,3.1,1,I,-,,CE,Pacajus,(UnB),2.8,0.3,Mw(mb)
764,2000,9,28,16,4,9,-21.04,-49.06,0.0,10,3.4,1,I,5,1.3,SP,Catigua,(IAG;UnB;IPT),3.0,0.33,0.7Mw(mb)+0.3Mw(Af)
765,2000,10,6,13,4,12,-3.19,-40.43,0.0,5,3.2,1,I,-,,CE,Senador Sa,(UFRN;UnB),2.9,0.3,Mw(mb)
766,2000,10,17,13,37,45,-3.19,-40.43,0.0,5,3.0,1,I,-,,CE,Senador Sa,(UFRN;UnB),2.7,0.3,Mw(mb)
767,2000,11,10,20,5,8,-4.3,-38.4,0.0,50,3.0,1,I,-,,CE,Pacajus,(UnB),2.7,0.3,Mw(mb)
768,2000,11,20,9,36,33,-16.01,-47.79,0.0,10,4.2,1,I,6,7.8,DF,Sao Sebastiao,(UnB;IAG;IPT;UFRN),3.7,0.33,0.7Mw(mb)+0.3Mw(Af)
769,2000,11,21,21,58,13,-11.5,-56.8,0.0,10,3.5,1,I,-,,MT,P.Gauchos,(UnB),3.2,0.3,Mw(mb)
770,2000,12,6,17,47,11,-24.12,-44.8,0.0,20,3.2,1,I,-,,SP,Margem Cont.,(IAG),2.9,0.3,Mw(mb)
771,2000,12,18,1,31,40,-27.22,-57.55,0.0,50,2.8,1,I,-,,PY,Paraguay,(UnB),2.5,0.3,Mw(mb)
772,2000,12,21,4,43,34,-26.15,-58.12,0.0,50,2.8,1,I,-,,PY,Paraguay,(UnB),2.5,0.3,Mw(mb)
773,2000,12,24,5,16,10,-11.5,-56.8,0.0,10,3.5,1,I,-,,MT,P.Gauchos,(UnB;IAG),3.2,0.3,Mw(mb)
774,2001,1,7,3,50,15,-17.7,-44.7,0.0,0,3.4,1,I,-,,MG,Pirapora,(UnB),3.1,0.3,Mw(mb)
775,2001,1,23,9,21,31,-5.28,-39.42,0.0,50,3.3,1,I,-,,CE,Quixeramobim,(IAG;UFRN),3.0,0.3,Mw(mb)
776,2001,2,26,20,42,0,-4.41,-38.29,0.0,2,3.7,1,I,-,,CE,Cascavel,(IAG;UnB) IAG 3.5; UnB 3.8,3.4,0.3,Mw(mb)
777,2001,4,6,10,26,5,-9.87,-39.87,0.0,1,3.0,1,I,-,,BA,Jaguarari,(IAG) Induzido p/ Mina,2.7,0.3,Mw(mb)
778,2001,5,9,0,38,12,-9.89,-72.47,22.0,30,3.7,0,I,-,,AC,Peru,(ISC),3.4,0.3,Mw(mb)
779,2001,5,24,23,55,0,-21.2,-39.91,0.0,10,3.0,1,I,-,,RJ,Margem Cont.,(IAG;UnB) IAG2.6;UnB3.4,2.7,0.3,Mw(mb)
780,2001,5,27,9,50,0,-1.3,-60.5,0.0,0,3.7,1,I,-,,AM,Balbina,(UnB),3.4,0.3,Mw(mb)
781,2001,8,24,19,56,18,-21.93,-40.37,0.0,30,3.9,1,I,-,,RJ,Margem Cont.,(IAG;UnB) IAG3.3-UnB4.4,3.6,0.3,Mw(mb)
782,2001,8,31,18,51,34,-20.01,-44.7,0.0,0,3.1,1,I,-,,MG,Igaratinga,(UnB),2.8,0.3,Mw(mb)
783,2001,12,8,2,6,38,-9.87,-39.87,0.0,1,3.1,1,I,2,,BA,Jaguarari,(MC)Induzido p/ Mina,2.8,0.3,Mw(mb)
784,2002,4,20,5,21,55,1.37,-34.95,0.0,50,4.1,0,I,-,,RN,Atlantico C.,(ISC; Ms=3.2),3.8,0.3,Mw(mb)
785,2002,5,6,6,12,2,-19.45,-44.03,0.0,30,2.9,1,I,-,,MG,Pedro Leopoldo,(IAG;IPT;UnB)  IAG2.7-UnB3.0,2.6,0.3,Mw(mb)
786,2002,5,18,12,22,12,-9.92,-49.0,0.0,0,3.1,1,I,-,,TO,Prox. Pium,(UnB),2.8,0.3,Mw(mb)
787,2002,5,19,5,57,18,-10.03,-49.63,0.0,0,3.0,1,I,-,,TO,Prox. Pium,(UnB),2.7,0.3,Mw(mb)
788,2002,6,4,23,27,12,-25.03,-45.83,0.0,20,3.7,1,I,-,,SP,Margem Cont.,(IAG;UnB),3.4,0.3,Mw(mb)
789,2002,6,30,21,39,31,-8.26,-35.96,0.0,5,3.8,1,I,4-5,,PE,Caruaru,(UFRN;IAG;UnB),3.5,0.3,Mw(mb)
790,2002,7,29,13,19,0,-8.26,-35.96,0.0,5,2.9,1,I,-,,PE,Caruaru,(UFRN;IAG),2.6,0.3,Mw(mb)
791,2002,8,16,11,19,0,-8.26,-35.96,0.0,5,2.8,1,I,-,,PE,Caruaru,(UFRN;IAG),2.5,0.3,Mw(mb)
792,2002,8,23,13,2,0,-8.26,-35.96,0.0,5,2.9,1,I,-,,PE,Caruaru,(UFRN;IAG),2.6,0.3,Mw(mb)
793,2002,8,26,2,29,19,-14.88,-47.01,0.0,20,3.3,1,I,-,,GO,Santa Rosa,(UnB;IAG),3.0,0.3,Mw(mb)
794,2002,9,20,16,3,1,-12.56,-38.65,0.0,20,3.0,5,I,-,,BA,Sto. Amaro,(IAG),3.0,0.3,Mw(mb)
795,2002,9,28,9,35,8,-12.56,-38.65,0.0,20,3.7,1,I,-,,BA,Sto. Amaro,(IAG;UnB) IAG3.8-UnB3.5,3.4,0.3,Mw(mb)
796,2002,10,1,17,56,54,-12.56,-38.65,0.0,20,2.8,5,I,-,,BA,Sto. Amaro,(IAG),3.4,0.3,Mw(mb)
797,2002,10,2,5,50,13,-10.26,-69.64,0.0,0,4.0,1,I,-,,AC,Guanabara,(UnB),3.7,0.3,Mw(mb)
798,2002,10,10,21,9,33,-12.8,-38.86,0.0,20,3.6,1,I,-,,BA,Amargosa,(IAG;UnB),3.3,0.3,Mw(mb)
799,2002,10,17,13,18,8,-12.56,-38.65,0.0,20,2.9,5,I,-,,BA,Sto. Amaro,(IAG),3.3,0.3,Mw(mb)
800,2002,10,27,20,23,25,-8.03,-49.78,0.0,80,3.7,1,I,-,,PA,NE Redencao,(IAG;UnB),3.4,0.3,Mw(mb)
801,2002,11,16,1,28,24,-20.27,-44.67,0.0,30,3.4,1,I,-,,MG,Itaguara,(IAG;UnB;UNESP;IPT) IAG3.2-UnB3.5,3.1,0.3,Mw(mb)
802,2003,1,9,3,19,32,-23.83,-42.98,0.0,20,3.5,1,I,-,,SP,Margem Cont.,(IAG;IPT),3.2,0.3,Mw(mb)
803,2003,1,25,21,0,0,-8.33,-40.22,0.0,10,3.5,4,C,5,,PE,S.Cruz Malta,(UFRN),2.9,0.6,Mw(mb(I0))
804,2003,2,26,14,32,2,-5.66,-35.87,0.0,10,3.4,1,I,-,,RN,Joao Camara,(UFRN;IAG),3.1,0.3,Mw(mb)
805,2003,3,16,21,29,41,-21.31,-46.19,0.0,20,3.2,1,I,5,1.4,MG,Areado,(IAG; Marza SBGf2003),2.9,0.33,0.7Mw(mb)+0.3Mw(Af)
806,2003,4,13,11,20,14,-22.27,-40.67,0.0,30,3.3,1,I,-,,RJ,Margem Cont.,(IAG;UnB)  IAG2.8 - UnB3.7,3.0,0.3,Mw(mb)
807,2003,4,16,15,36,18,-21.31,-39.86,0.0,10,3.2,1,I,-,,RJ,Margem Cont.,(IAG),2.9,0.3,Mw(mb)
808,2003,5,4,22,27,57,-20.37,-44.81,0.0,20,2.9,1,I,-,,MG,Itaguara,(IAG;UnB) IAG2.8 - UnB3.0,2.6,0.3,Mw(mb)
809,2003,5,11,13,45,38,-16.73,-54.29,0.0,20,3.7,1,I,-,,MT,Rondonopolis,(IAG;UnB) IAG3.9 - UnB3.5,3.4,0.3,Mw(mb)
810,2003,5,17,6,40,3,-26.09,-46.21,0.0,30,2.9,1,I,-,,PR,Margem Cont.,(IAG),2.6,0.3,Mw(mb)
811,2003,5,23,11,28,11,-25.39,-46.42,0.0,30,3.1,1,I,-,,PR,Margem Cont.,(IAG),2.8,0.3,Mw(mb)
812,2003,6,23,6,9,6,-26.44,-41.73,0.0,30,4.1,1,I,-,,SC,Margem Cont.,(IAG;UnB;IPT) IAG3.6;UnB4.5,3.8,0.3,Mw(mb)
813,2003,7,14,9,8,38,-12.64,-47.68,0.0,30,3.6,1,I,-,,TO,Parana,(IAG;UnB) IAG3.8;UnB3.3,3.3,0.3,Mw(mb)
814,2003,7,14,9,15,37,-12.64,-47.62,0.0,30,3.0,1,I,-,,TO,Parana,(IAG),2.7,0.3,Mw(mb)
815,2003,7,26,0,51,21,-24.05,-42.36,0.0,20,3.4,1,I,-,,SP,Margem Cont.,(IAG),3.1,0.3,Mw(mb)
816,2003,7,31,11,34,11,-13.54,-44.59,0.0,30,2.9,1,I,-,,BA,Correntina,(IAG),2.6,0.3,Mw(mb)
817,2003,7,31,14,43,40,-13.49,-44.59,0.0,30,3.0,1,I,-,,BA,Correntina,(IAG),2.7,0.3,Mw(mb)
818,2003,7,31,15,29,57,-13.58,-44.6,0.0,30,2.9,1,I,-,,BA,Correntina,(IAG),2.6,0.3,Mw(mb)
819,2003,10,28,22,54,57,-17.38,-56.22,0.0,20,2.9,1,I,-,,MT,SSW-Pocone,(IAG),2.6,0.3,Mw(mb)
820,2003,10,28,23,21,55,-17.38,-56.22,0.0,50,3.5,1,I,-,,MT,SSW-Pocone,(IAG),3.2,0.3,Mw(mb)
821,2003,11,15,0,20,27,-8.34,-50.04,0.0,20,3.9,1,I,-,,PA,Con.Araguaia,(IAG),3.6,0.3,Mw(mb)
822,2003,12,3,23,33,47,-9.61,-34.28,0.0,30,3.3,1,I,-,,AL,Margem Cont.,(IAG),3.0,0.3,Mw(mb)
823,2003,12,24,20,12,55,-7.4,-72.7,28.0,100,3.4,0,I,-,,AC,Acre,(ISC),3.1,0.3,Mw(mb)
824,2004,1,12,4,51,50,-6.57,-38.8,0.0,50,3.2,1,I,-,,CE,Icoh,(IAG),2.9,0.3,Mw(mb)
825,2004,2,6,5,55,20,-4.98,-39.74,0.0,50,2.8,1,I,-,,CE,Guia,(IAG),2.5,0.3,Mw(mb)
826,2004,3,17,23,28,58,-18.4,-56.21,0.0,100,3.0,1,I,-,,MS,Paiaguas,(IAG),2.7,0.3,Mw(mb)
827,2004,5,16,14,29,37,-25.22,-44.72,0.0,50,3.9,1,I,-,,SP,Margem Cont.,(IAG;IPT;UNESP-RC),3.6,0.3,Mw(mb)
828,2004,6,1,12,11,0,-8.33,-36.58,0.0,5,3.1,1,I,-,,PE,Belo Jardim,(UFRN;IAG),2.8,0.3,Mw(mb)
829,2004,6,9,12,30,0,-8.33,-36.58,0.0,5,2.9,1,I,-,,PE,Belo Jardim,(UFRN;IAG),2.6,0.3,Mw(mb)
830,2004,6,24,12,18,32,-26.21,-61.87,44.0,30,3.4,5,I,-,-  ,AR,Argentina,(SJA/INPRES),2.6,0.3,Mw(mb)
831,2004,7,6,14,44,16,-3.2,-72.92,15.0,40,4.0,0,I,-,,AC,Peru/Brasil,(ISC),3.7,0.3,Mw(mb)
832,2004,8,24,8,14,49,-4.37,-38.48,0.0,10,3.3,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.0,0.3,Mw(mb)
833,2004,9,6,20,13,28,-17.2,-56.2,0.0,100,2.8,1,I,-,,MT,SE-Poconeh,(IAG),2.5,0.3,Mw(mb)
834,2004,11,25,13,10,36,-21.22,-50.47,0.0,50,3.2,5,I,-,,SP,ARACATUBA,(IPT),2.5,0.3,Mw(mb)
835,2004,12,26,0,39,53,-16.22,-55.95,0.0,20,3.2,1,I,3,,MT,Barao Melgaco,(IAG),2.9,0.3,Mw(mb)
836,2005,2,8,18,4,20,-2.21,-63.587,18.0,30,4.4,0,I,-,,AM,Amazonas,(NEIC ISC),4.1,0.3,Mw(mb)
837,2005,3,23,21,11,59,-11.6,-56.76,3.0,4,5.0,0,I,5-6,,MT,Pto. dos Gauchos,(UnB; Barros etal.2009) pGT H.O.=AK135,4.7,0.3,Mw(mb)
838,2005,3,30,11,41,44,-21.06,-48.5,1.0,1,2.9,1,I,5,0.7,SP,Bebedouro,(IAG;UNESP-RC),2.6,0.33,0.7Mw(mb)+0.3Mw(Af)
839,2005,4,2,15,25,17,-21.06,-48.5,1.0,1,2.8,1,I,5,,SP,Bebedouro,(IAG;UNESP-RC),2.5,0.3,Mw(mb)
840,2005,4,3,13,44,59,-8.8,-33.19,0.0,50,3.0,1,I,-,,PE,Margem Cont.,(IAG;UFRN),2.7,0.3,Mw(mb)
841,2005,4,8,23,34,22,-21.03,-47.29,0.0,30,3.1,1,I,-,,SP,SBenedAreias,(IAG;IPT),2.8,0.3,Mw(mb)
842,2005,6,6,5,1,0,-4.35,-38.36,0.0,10,3.0,1,I,-,,CE,Chorozinho,(UFRN),2.7,0.3,Mw(mb)
843,2005,6,18,11,10,0,-4.35,-38.36,0.0,10,3.1,1,I,-,,CE,Chorozinho,(UFRN),2.8,0.3,Mw(mb)
844,2005,7,10,8,7,3,-16.81,-54.96,0.0,30,3.0,1,I,-,,MT,Anhumas,(IAG),2.7,0.3,Mw(mb)
845,2005,7,20,16,43,6,-11.6,-56.78,0.0,30,4.3,1,I,4,,MT,Porto dos Gauchos,(UnB;IAG),4.0,0.3,Mw(mb)
846,2005,9,24,20,38,1,-11.88,-57.4,0.0,30,3.9,1,I,-,,MT,P.Gauchos,(IAG),3.6,0.3,Mw(mb)
